city,country,lat,lon,baseline_temp_c,future_temp_c,delta_temp_c,delta_summer_temp_c,delta_precip_pct,baseline_heat_days,future_heat_days,delta_heat_days,resilience_score,risk_tier
Krasnoyarsk,Russia,56.0091,92.8726,1.6,3.9,2.2,2.1,5.4,0.0,0.0,0.0,53.5,Moderate Risk
Skopje,North Macedonia,41.9962,21.4319,13.6,15.3,1.7,2.1,-1.3,5.2,22.1,16.9,55.6,Moderate Risk
Sibiu,Romania,45.7974,24.1519,9.1,10.7,1.6,1.9,-1.1,0.0,0.0,0.0,73.4,Moderate Risk
Kazan,Russia,55.7946,49.1115,4.6,6.7,2.1,1.8,6.0,0.0,0.0,0.0,58.6,Moderate Risk
Oradea,Romania,47.0549,21.9285,11.5,13.3,1.8,2.3,-4.9,1.0,4.1,3.1,55.6,Moderate Risk
Nis,Serbia,43.3163,21.9212,12.3,14.1,1.7,2.3,-3.0,3.6,10.4,6.8,57.6,Moderate Risk
Ufa,Russia,54.7261,55.9475,4.3,6.4,2.2,2.0,3.0,0.0,0.0,0.0,58.8,Moderate Risk
Krasnodar,Russia,45.0352,38.9772,12.6,14.1,1.5,1.9,4.0,4.0,13.4,9.4,63.2,Moderate Risk
Chisinau,Moldova,47.0245,28.8323,10.9,12.7,1.8,1.8,2.2,2.0,5.2,3.2,67.3,Moderate Risk
Novosibirsk,Russia,55.0288,82.9227,2.0,4.4,2.4,2.2,1.6,0.0,0.0,0.0,54.9,Moderate Risk
Nizhny Novgorod,Russia,56.1301,44.1365,5.5,7.6,2.1,1.7,3.1,0.0,0.0,0.0,64.8,Moderate Risk
Samara,Russia,53.1956,50.1015,5.9,8.0,2.1,2.1,1.4,1.0,6.0,5.0,57.8,Moderate Risk
Voronezh,Russia,51.68,39.1837,7.3,9.3,2.0,2.1,2.7,0.0,5.5,5.5,57.0,Moderate Risk
Tomsk,Russia,58.6124,82.0475,0.3,2.8,2.5,2.2,-0.2,0.0,0.0,0.0,55.5,Moderate Risk
Rostov-on-Don (Rostov-na-donu),Russia,47.2038,39.7325,11.2,12.9,1.7,2.1,4.1,3.2,12.7,9.5,56.6,Moderate Risk
Chelyabinsk,Russia,55.1598,61.4026,3.4,5.5,2.2,2.1,2.2,0.0,0.0,0.0,58.7,Moderate Risk
Perm,Russia,58.0109,56.2319,2.9,5.1,2.2,1.7,3.7,0.0,0.0,0.0,62.1,Moderate Risk
Stara Zagora,Bulgaria,42.4248,25.6257,12.6,14.3,1.7,2.2,-2.1,2.2,10.7,8.5,59.2,Moderate Risk
Minsk,Belarus,53.9025,27.5618,6.8,8.7,1.9,1.7,3.0,0.0,0.0,0.0,68.3,Moderate Risk
Kiev (Kyiv),Ukraine,50.4486,30.5272,8.6,10.5,1.8,1.9,3.0,0.0,0.0,0.0,67.0,Moderate Risk
Dnipro,Ukraine,51.9191,30.8243,8.1,10.0,1.9,1.8,1.7,0.0,1.0,1.0,68.1,Moderate Risk
Lviv,Ukraine,49.842,24.0316,8.7,10.6,1.8,1.9,-2.7,0.0,0.0,0.0,67.5,Moderate Risk
Odessa (Odesa),Ukraine,46.4829,30.724,11.6,13.4,1.7,1.9,3.4,0.0,3.0,3.0,65.7,Moderate Risk
Kharkiv,Ukraine,49.9923,36.231,8.6,10.5,1.8,1.9,3.1,1.0,4.8,3.8,63.9,Moderate Risk
